id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade
13807,2026-07-06T06:27:54.292181+00:00,overseas,PFE,NYSE,WAIT,signal_unavailable,24.32,-0.001314060446780553,421,,,,,,,0.0,1315,,,1d30606ac920,,,1
13808,2026-07-06T06:27:54.297509+00:00,overseas,V,NYSE,WAIT,signal_unavailable,362.13,0.005665250354078204,20,,,,,,,0.0,1315,,,1d30606ac920,,,1
13809,2026-07-06T06:27:54.303013+00:00,overseas,PLBL,NASD,WAIT,trend_down,10.26,,0,45.70476595833323,2.388535031847134,0.0011111111111111417,0.00012770137524563093,10.205355555555556,10.220780952380952,424.7904,1315,,,1d30606ac920,,,1
13810,2026-07-06T06:28:01.362587+00:00,domestic,005930,,BUY,[VWAP] volume_low,316500.0,,0,61.74362105772344,0.908585319985781,0.0,-0.0031496062992125984,315750.0,315428.5714285714,127.0865,1315,,,1d30606ac920,VWAP,VWAP,1
13811,2026-07-06T06:28:06.461202+00:00,domestic,000660,,BUY,[VWAP] volume_low,2352000.0,,0,57.06882702389009,1.495792589636134,-0.006756756756756757,-0.001697792869269949,2357000.0,2371190.476190476,123.4724,1315,,,1d30606ac920,VWAP,VWAP,1
13812,2026-07-06T06:28:06.517368+00:00,overseas,SQQQ,NASD,HOLD,vr=1.3x mom=-0.23%,39.95,0.0,594,36.522020283479236,1.2815919749869724,-0.002262443438914113,6.551197609319447e-05,39.72046666666667,39.70215238095238,114.9286,1315,,,1d30606ac920,VWAP,VWAP,1
13813,2026-07-06T06:28:08.504889+00:00,domestic,023410,,WAIT,trend_down,4005.0,,0,64.05834363421427,1.8358079845332418,0.02038216560509554,0.012642225031605562,3930.5555555555557,3894.285714285714,110.9018,1315,,,1d30606ac920,,,1
13814,2026-07-06T06:28:11.657689+00:00,domestic,010170,,BUY,[VWAP] volume_low,11350.0,,0,50.93002947012471,1.0848493801347683,-0.0008802816901408451,0.0008818342151675485,11361.111111111111,11373.333333333334,105.7692,1315,,,1d30606ac920,VWAP,VWAP,1
13815,2026-07-06T06:28:11.713755+00:00,overseas,HOOD,NASD,HOLD,vr=0.9x mom=+0.18%,112.73,0.0,210,50.70936541373739,0.9415684580736718,0.001788908765652977,0.0013410818059902162,111.87756666666667,111.80526666666667,86.146,1315,,,1d30606ac920,VWAP,VWAP,1
13816,2026-07-06T06:28:11.719397+00:00,overseas,LYFT,NASD,HOLD,vr=0.1x mom=-0.39%,15.37,0.0,1545,50.63683012108378,0.08427504309519249,-0.00389722769829335,-0.0007831875734237488,15.340466666666666,15.32387142857143,80.3908,1315,,,1d30606ac920,VWAP,VWAP,1
